#        T (MeV)     d\mu_e/dL_e   d\mu_\mu/dL_e  d\mu_\tau/dL_e  d\mu_{\nu_e}/dL_e   d\mu_{\nu_\mu}/dL_e  d\mu_{\nu_\tau}/dL_e     d\mu_Q/dL_e     d\mu_B/dL_e in units of T^-2
      7.2200e+03      1.8464e+00     -1.5359e-01     -1.5452e-01         2.3072e+00            3.0716e-01            3.0622e-01      4.6075e-01     -9.4920e-02
      7.2250e+03      1.8464e+00     -1.5358e-01     -1.5452e-01         2.3072e+00            3.0716e-01            3.0622e-01      4.6074e-01     -9.4915e-02
      7.2300e+03      1.8464e+00     -1.5358e-01     -1.5452e-01         2.3072e+00            3.0715e-01            3.0622e-01      4.6074e-01     -9.4910e-02
      7.2350e+03      1.8464e+00     -1.5358e-01     -1.5452e-01         2.3072e+00            3.0715e-01            3.0622e-01      4.6073e-01     -9.4905e-02
      7.2400e+03      1.8464e+00     -1.5358e-01     -1.5451e-01         2.3072e+00            3.0715e-01            3.0621e-01      4.6073e-01     -9.4900e-02
      7.2450e+03      1.8464e+00     -1.5358e-01     -1.5451e-01         2.3071e+00            3.0714e-01            3.0621e-01      4.6072e-01     -9.4895e-02
      7.2500e+03      1.8464e+00     -1.5358e-01     -1.5451e-01         2.3071e+00            3.0714e-01            3.0621e-01      4.6072e-01     -9.4890e-02
      7.2550e+03      1.8464e+00     -1.5357e-01     -1.5450e-01         2.3071e+00            3.0714e-01            3.0621e-01      4.6071e-01     -9.4885e-02
      7.2600e+03      1.8464e+00     -1.5357e-01     -1.5450e-01         2.3071e+00            3.0713e-01            3.0621e-01      4.6071e-01     -9.4880e-02
      7.2650e+03      1.8464e+00     -1.5357e-01     -1.5450e-01         2.3071e+00            3.0713e-01            3.0620e-01      4.6070e-01     -9.4874e-02
      7.2700e+03      1.8464e+00     -1.5357e-01     -1.5449e-01         2.3071e+00            3.0713e-01            3.0620e-01      4.6070e-01     -9.4869e-02
      7.2750e+03      1.8464e+00     -1.5357e-01     -1.5449e-01         2.3071e+00            3.0712e-01            3.0620e-01      4.6069e-01     -9.4864e-02
      7.2800e+03      1.8464e+00     -1.5357e-01     -1.5449e-01         2.3071e+00            3.0712e-01            3.0620e-01      4.6069e-01     -9.4859e-02
      7.2850e+03      1.8464e+00     -1.5356e-01     -1.5449e-01         2.3071e+00            3.0712e-01            3.0620e-01      4.6068e-01     -9.4854e-02
      7.2900e+03      1.8464e+00     -1.5356e-01     -1.5448e-01         2.3071e+00            3.0712e-01            3.0619e-01      4.6068e-01     -9.4849e-02
      7.2950e+03      1.8464e+00     -1.5356e-01     -1.5448e-01         2.3071e+00            3.0711e-01            3.0619e-01      4.6067e-01     -9.4844e-02
      7.3000e+03      1.8464e+00     -1.5356e-01     -1.5448e-01         2.3071e+00            3.0711e-01            3.0619e-01      4.6067e-01     -9.4839e-02
      7.3050e+03      1.8464e+00     -1.5356e-01     -1.5447e-01         2.3071e+00            3.0711e-01            3.0619e-01      4.6066e-01     -9.4834e-02
      7.3100e+03      1.8464e+00     -1.5356e-01     -1.5447e-01         2.3071e+00            3.0710e-01            3.0619e-01      4.6066e-01     -9.4829e-02
      7.3150e+03      1.8464e+00     -1.5355e-01     -1.5447e-01         2.3071e+00            3.0710e-01            3.0619e-01      4.6065e-01     -9.4824e-02
      7.3200e+03      1.8465e+00     -1.5355e-01     -1.5447e-01         2.3071e+00            3.0710e-01            3.0618e-01      4.6065e-01     -9.4819e-02
      7.3250e+03      1.8465e+00     -1.5355e-01     -1.5446e-01         2.3071e+00            3.0709e-01            3.0618e-01      4.6064e-01     -9.4814e-02
      7.3300e+03      1.8465e+00     -1.5355e-01     -1.5446e-01         2.3071e+00            3.0709e-01            3.0618e-01      4.6064e-01     -9.4810e-02
      7.3350e+03      1.8465e+00     -1.5355e-01     -1.5446e-01         2.3071e+00            3.0709e-01            3.0618e-01      4.6064e-01     -9.4805e-02
      7.3400e+03      1.8465e+00     -1.5355e-01     -1.5446e-01         2.3071e+00            3.0708e-01            3.0618e-01      4.6063e-01     -9.4800e-02
      7.3450e+03      1.8465e+00     -1.5355e-01     -1.5445e-01         2.3071e+00            3.0708e-01            3.0617e-01      4.6063e-01     -9.4795e-02
      7.3500e+03      1.8465e+00     -1.5354e-01     -1.5445e-01         2.3071e+00            3.0708e-01            3.0617e-01      4.6062e-01     -9.4790e-02
      7.3550e+03      1.8465e+00     -1.5354e-01     -1.5445e-01         2.3071e+00            3.0707e-01            3.0617e-01      4.6062e-01     -9.4785e-02
      7.3600e+03      1.8465e+00     -1.5354e-01     -1.5444e-01         2.3071e+00            3.0707e-01            3.0617e-01      4.6061e-01     -9.4780e-02
      7.3650e+03      1.8465e+00     -1.5354e-01     -1.5444e-01         2.3071e+00            3.0707e-01            3.0617e-01      4.6061e-01     -9.4775e-02
      7.3700e+03      1.8465e+00     -1.5354e-01     -1.5444e-01         2.3071e+00            3.0707e-01            3.0616e-01      4.6060e-01     -9.4771e-02
      7.3750e+03      1.8465e+00     -1.5354e-01     -1.5444e-01         2.3071e+00            3.0706e-01            3.0616e-01      4.6060e-01     -9.4766e-02
      7.3800e+03      1.8465e+00     -1.5353e-01     -1.5443e-01         2.3071e+00            3.0706e-01            3.0616e-01      4.6059e-01     -9.4761e-02
      7.3850e+03      1.8465e+00     -1.5353e-01     -1.5443e-01         2.3071e+00            3.0706e-01            3.0616e-01      4.6059e-01     -9.4756e-02
      7.3900e+03      1.8465e+00     -1.5353e-01     -1.5443e-01         2.3071e+00            3.0705e-01            3.0616e-01      4.6058e-01     -9.4751e-02
      7.3950e+03      1.8465e+00     -1.5353e-01     -1.5442e-01         2.3071e+00            3.0705e-01            3.0616e-01      4.6058e-01     -9.4747e-02
      7.4000e+03      1.8465e+00     -1.5353e-01     -1.5442e-01         2.3071e+00            3.0705e-01            3.0615e-01      4.6058e-01     -9.4742e-02
      7.4050e+03      1.8465e+00     -1.5353e-01     -1.5442e-01         2.3070e+00            3.0704e-01            3.0615e-01      4.6057e-01     -9.4737e-02
      7.4100e+03      1.8465e+00     -1.5353e-01     -1.5442e-01         2.3070e+00            3.0704e-01            3.0615e-01      4.6057e-01     -9.4732e-02
      7.4150e+03      1.8465e+00     -1.5352e-01     -1.5441e-01         2.3070e+00            3.0704e-01            3.0615e-01      4.6056e-01     -9.4727e-02
      7.4200e+03      1.8465e+00     -1.5352e-01     -1.5441e-01         2.3070e+00            3.0703e-01            3.0615e-01      4.6056e-01     -9.4723e-02
      7.4250e+03      1.8465e+00     -1.5352e-01     -1.5441e-01         2.3070e+00            3.0703e-01            3.0614e-01      4.6055e-01     -9.4718e-02
      7.4300e+03      1.8465e+00     -1.5352e-01     -1.5441e-01         2.3070e+00            3.0703e-01            3.0614e-01      4.6055e-01     -9.4713e-02
      7.4350e+03      1.8465e+00     -1.5352e-01     -1.5440e-01         2.3070e+00            3.0703e-01            3.0614e-01      4.6054e-01     -9.4709e-02
      7.4400e+03      1.8465e+00     -1.5352e-01     -1.5440e-01         2.3070e+00            3.0702e-01            3.0614e-01      4.6054e-01     -9.4704e-02
      7.4450e+03      1.8465e+00     -1.5351e-01     -1.5440e-01         2.3070e+00            3.0702e-01            3.0614e-01      4.6053e-01     -9.4699e-02
      7.4500e+03      1.8465e+00     -1.5351e-01     -1.5439e-01         2.3070e+00            3.0702e-01            3.0614e-01      4.6053e-01     -9.4694e-02
      7.4550e+03      1.8465e+00     -1.5351e-01     -1.5439e-01         2.3070e+00            3.0701e-01            3.0613e-01      4.6053e-01     -9.4690e-02
      7.4600e+03      1.8465e+00     -1.5351e-01     -1.5439e-01         2.3070e+00            3.0701e-01            3.0613e-01      4.6052e-01     -9.4685e-02
      7.4650e+03      1.8465e+00     -1.5351e-01     -1.5439e-01         2.3070e+00            3.0701e-01            3.0613e-01      4.6052e-01     -9.4680e-02
      7.4700e+03      1.8465e+00     -1.5351e-01     -1.5438e-01         2.3070e+00            3.0700e-01            3.0613e-01      4.6051e-01     -9.4676e-02
      7.4750e+03      1.8465e+00     -1.5351e-01     -1.5438e-01         2.3070e+00            3.0700e-01            3.0613e-01      4.6051e-01     -9.4671e-02
      7.4800e+03      1.8465e+00     -1.5350e-01     -1.5438e-01         2.3070e+00            3.0700e-01            3.0612e-01      4.6050e-01     -9.4667e-02
      7.4850e+03      1.8465e+00     -1.5350e-01     -1.5438e-01         2.3070e+00            3.0700e-01            3.0612e-01      4.6050e-01     -9.4662e-02
      7.4900e+03      1.8465e+00     -1.5350e-01     -1.5437e-01         2.3070e+00            3.0699e-01            3.0612e-01      4.6049e-01     -9.4657e-02
      7.4950e+03      1.8465e+00     -1.5350e-01     -1.5437e-01         2.3070e+00            3.0699e-01            3.0612e-01      4.6049e-01     -9.4653e-02
      7.5000e+03      1.8465e+00     -1.5350e-01     -1.5437e-01         2.3070e+00            3.0699e-01            3.0612e-01      4.6048e-01     -9.4648e-02
      7.5050e+03      1.8465e+00     -1.5350e-01     -1.5437e-01         2.3070e+00            3.0698e-01            3.0612e-01      4.6048e-01     -9.4644e-02
      7.5100e+03      1.8465e+00     -1.5350e-01     -1.5436e-01         2.3070e+00            3.0698e-01            3.0611e-01      4.6048e-01     -9.4639e-02
      7.5150e+03      1.8465e+00     -1.5349e-01     -1.5436e-01         2.3070e+00            3.0698e-01            3.0611e-01      4.6047e-01     -9.4634e-02
      7.5200e+03      1.8465e+00     -1.5349e-01     -1.5436e-01         2.3070e+00            3.0698e-01            3.0611e-01      4.6047e-01     -9.4630e-02
      7.5250e+03      1.8465e+00     -1.5349e-01     -1.5435e-01         2.3070e+00            3.0697e-01            3.0611e-01      4.6046e-01     -9.4625e-02
      7.5300e+03      1.8465e+00     -1.5349e-01     -1.5435e-01         2.3070e+00            3.0697e-01            3.0611e-01      4.6046e-01     -9.4621e-02
      7.5350e+03      1.8465e+00     -1.5349e-01     -1.5435e-01         2.3070e+00            3.0697e-01            3.0610e-01      4.6045e-01     -9.4616e-02
      7.5400e+03      1.8465e+00     -1.5349e-01     -1.5435e-01         2.3070e+00            3.0696e-01            3.0610e-01      4.6045e-01     -9.4612e-02
      7.5450e+03      1.8465e+00     -1.5348e-01     -1.5434e-01         2.3070e+00            3.0696e-01            3.0610e-01      4.6045e-01     -9.4607e-02
      7.5500e+03      1.8465e+00     -1.5348e-01     -1.5434e-01         2.3070e+00            3.0696e-01            3.0610e-01      4.6044e-01     -9.4603e-02
      7.5550e+03      1.8465e+00     -1.5348e-01     -1.5434e-01         2.3070e+00            3.0695e-01            3.0610e-01      4.6044e-01     -9.4598e-02
      7.5600e+03      1.8465e+00     -1.5348e-01     -1.5434e-01         2.3070e+00            3.0695e-01            3.0610e-01      4.6043e-01     -9.4594e-02
      7.5650e+03      1.8465e+00     -1.5348e-01     -1.5433e-01         2.3070e+00            3.0695e-01            3.0609e-01      4.6043e-01     -9.4589e-02
      7.5700e+03      1.8465e+00     -1.5348e-01     -1.5433e-01         2.3069e+00            3.0695e-01            3.0609e-01      4.6042e-01     -9.4585e-02
      7.5750e+03      1.8465e+00     -1.5348e-01     -1.5433e-01         2.3069e+00            3.0694e-01            3.0609e-01      4.6042e-01     -9.4580e-02
      7.5800e+03      1.8465e+00     -1.5347e-01     -1.5433e-01         2.3069e+00            3.0694e-01            3.0609e-01      4.6041e-01     -9.4576e-02
      7.5850e+03      1.8465e+00     -1.5347e-01     -1.5432e-01         2.3069e+00            3.0694e-01            3.0609e-01      4.6041e-01     -9.4571e-02
      7.5900e+03      1.8465e+00     -1.5347e-01     -1.5432e-01         2.3069e+00            3.0693e-01            3.0609e-01      4.6041e-01     -9.4567e-02
      7.5950e+03      1.8465e+00     -1.5347e-01     -1.5432e-01         2.3069e+00            3.0693e-01            3.0608e-01      4.6040e-01     -9.4562e-02
      7.6000e+03      1.8465e+00     -1.5347e-01     -1.5432e-01         2.3069e+00            3.0693e-01            3.0608e-01      4.6040e-01     -9.4558e-02
      7.6050e+03      1.8465e+00     -1.5347e-01     -1.5431e-01         2.3069e+00            3.0693e-01            3.0608e-01      4.6039e-01     -9.4554e-02
      7.6100e+03      1.8465e+00     -1.5347e-01     -1.5431e-01         2.3069e+00            3.0692e-01            3.0608e-01      4.6039e-01     -9.4549e-02
      7.6150e+03      1.8465e+00     -1.5346e-01     -1.5431e-01         2.3069e+00            3.0692e-01            3.0608e-01      4.6038e-01     -9.4545e-02
      7.6200e+03      1.8465e+00     -1.5346e-01     -1.5431e-01         2.3069e+00            3.0692e-01            3.0607e-01      4.6038e-01     -9.4540e-02
      7.6250e+03      1.8465e+00     -1.5346e-01     -1.5430e-01         2.3069e+00            3.0691e-01            3.0607e-01      4.6038e-01     -9.4536e-02
      7.6300e+03      1.8465e+00     -1.5346e-01     -1.5430e-01         2.3069e+00            3.0691e-01            3.0607e-01      4.6037e-01     -9.4532e-02
      7.6350e+03      1.8465e+00     -1.5346e-01     -1.5430e-01         2.3069e+00            3.0691e-01            3.0607e-01      4.6037e-01     -9.4527e-02
      7.6400e+03      1.8465e+00     -1.5346e-01     -1.5430e-01         2.3069e+00            3.0691e-01            3.0607e-01      4.6036e-01     -9.4523e-02
      7.6450e+03      1.8465e+00     -1.5346e-01     -1.5429e-01         2.3069e+00            3.0690e-01            3.0607e-01      4.6036e-01     -9.4519e-02
      7.6500e+03      1.8465e+00     -1.5345e-01     -1.5429e-01         2.3069e+00            3.0690e-01            3.0606e-01      4.6035e-01     -9.4514e-02
      7.6550e+03      1.8465e+00     -1.5345e-01     -1.5429e-01         2.3069e+00            3.0690e-01            3.0606e-01      4.6035e-01     -9.4510e-02
      7.6600e+03      1.8466e+00     -1.5345e-01     -1.5429e-01         2.3069e+00            3.0689e-01            3.0606e-01      4.6035e-01     -9.4506e-02
      7.6650e+03      1.8466e+00     -1.5345e-01     -1.5428e-01         2.3069e+00            3.0689e-01            3.0606e-01      4.6034e-01     -9.4501e-02
      7.6700e+03      1.8466e+00     -1.5345e-01     -1.5428e-01         2.3069e+00            3.0689e-01            3.0606e-01      4.6034e-01     -9.4497e-02
      7.6750e+03      1.8466e+00     -1.5345e-01     -1.5428e-01         2.3069e+00            3.0689e-01            3.0606e-01      4.6033e-01     -9.4493e-02
      7.6800e+03      1.8466e+00     -1.5345e-01     -1.5428e-01         2.3069e+00            3.0688e-01            3.0605e-01      4.6033e-01     -9.4488e-02
      7.6850e+03      1.8466e+00     -1.5344e-01     -1.5427e-01         2.3069e+00            3.0688e-01            3.0605e-01      4.6032e-01     -9.4484e-02
      7.6900e+03      1.8466e+00     -1.5344e-01     -1.5427e-01         2.3069e+00            3.0688e-01            3.0605e-01      4.6032e-01     -9.4480e-02
      7.6950e+03      1.8466e+00     -1.5344e-01     -1.5427e-01         2.3069e+00            3.0687e-01            3.0605e-01      4.6032e-01     -9.4476e-02
      7.7000e+03      1.8466e+00     -1.5344e-01     -1.5427e-01         2.3069e+00            3.0687e-01            3.0605e-01      4.6031e-01     -9.4471e-02
      7.7050e+03      1.8466e+00     -1.5344e-01     -1.5426e-01         2.3069e+00            3.0687e-01            3.0605e-01      4.6031e-01     -9.4467e-02
      7.7100e+03      1.8466e+00     -1.5344e-01     -1.5426e-01         2.3069e+00            3.0687e-01            3.0604e-01      4.6030e-01     -9.4463e-02
      7.7150e+03      1.8466e+00     -1.5344e-01     -1.5426e-01         2.3069e+00            3.0686e-01            3.0604e-01      4.6030e-01     -9.4459e-02
      7.7200e+03      1.8466e+00     -1.5343e-01     -1.5426e-01         2.3069e+00            3.0686e-01            3.0604e-01      4.6030e-01     -9.4454e-02
      7.7250e+03      1.8466e+00     -1.5343e-01     -1.5425e-01         2.3069e+00            3.0686e-01            3.0604e-01      4.6029e-01     -9.4450e-02
      7.7300e+03      1.8466e+00     -1.5343e-01     -1.5425e-01         2.3069e+00            3.0686e-01            3.0604e-01      4.6029e-01     -9.4446e-02
      7.7350e+03      1.8466e+00     -1.5343e-01     -1.5425e-01         2.3069e+00            3.0685e-01            3.0604e-01      4.6028e-01     -9.4442e-02
      7.7400e+03      1.8466e+00     -1.5343e-01     -1.5425e-01         2.3069e+00            3.0685e-01            3.0603e-01      4.6028e-01     -9.4438e-02
      7.7450e+03      1.8466e+00     -1.5343e-01     -1.5424e-01         2.3068e+00            3.0685e-01            3.0603e-01      4.6027e-01     -9.4434e-02
      7.7500e+03      1.8466e+00     -1.5343e-01     -1.5424e-01         2.3068e+00            3.0684e-01            3.0603e-01      4.6027e-01     -9.4429e-02
      7.7550e+03      1.8466e+00     -1.5343e-01     -1.5424e-01         2.3068e+00            3.0684e-01            3.0603e-01      4.6027e-01     -9.4425e-02
      7.7600e+03      1.8466e+00     -1.5342e-01     -1.5424e-01         2.3068e+00            3.0684e-01            3.0603e-01      4.6026e-01     -9.4421e-02
      7.7650e+03      1.8466e+00     -1.5342e-01     -1.5423e-01         2.3068e+00            3.0684e-01            3.0602e-01      4.6026e-01     -9.4417e-02
      7.7700e+03      1.8466e+00     -1.5342e-01     -1.5423e-01         2.3068e+00            3.0683e-01            3.0602e-01      4.6025e-01     -9.4413e-02
      7.7750e+03      1.8466e+00     -1.5342e-01     -1.5423e-01         2.3068e+00            3.0683e-01            3.0602e-01      4.6025e-01     -9.4409e-02
      7.7800e+03      1.8466e+00     -1.5342e-01     -1.5423e-01         2.3068e+00            3.0683e-01            3.0602e-01      4.6025e-01     -9.4405e-02
      7.7850e+03      1.8466e+00     -1.5342e-01     -1.5422e-01         2.3068e+00            3.0682e-01            3.0602e-01      4.6024e-01     -9.4400e-02
      7.7900e+03      1.8466e+00     -1.5342e-01     -1.5422e-01         2.3068e+00            3.0682e-01            3.0602e-01      4.6024e-01     -9.4396e-02
      7.7950e+03      1.8466e+00     -1.5341e-01     -1.5422e-01         2.3068e+00            3.0682e-01            3.0601e-01      4.6023e-01     -9.4392e-02
      7.8000e+03      1.8466e+00     -1.5341e-01     -1.5422e-01         2.3068e+00            3.0682e-01            3.0601e-01      4.6023e-01     -9.4388e-02
      7.8050e+03      1.8466e+00     -1.5341e-01     -1.5421e-01         2.3068e+00            3.0681e-01            3.0601e-01      4.6023e-01     -9.4384e-02
      7.8100e+03      1.8466e+00     -1.5341e-01     -1.5421e-01         2.3068e+00            3.0681e-01            3.0601e-01      4.6022e-01     -9.4380e-02
      7.8150e+03      1.8466e+00     -1.5341e-01     -1.5421e-01         2.3068e+00            3.0681e-01            3.0601e-01      4.6022e-01     -9.4376e-02
      7.8200e+03      1.8466e+00     -1.5341e-01     -1.5421e-01         2.3068e+00            3.0681e-01            3.0601e-01      4.6021e-01     -9.4372e-02
      7.8250e+03      1.8466e+00     -1.5341e-01     -1.5420e-01         2.3068e+00            3.0680e-01            3.0600e-01      4.6021e-01     -9.4368e-02
      7.8300e+03      1.8466e+00     -1.5340e-01     -1.5420e-01         2.3068e+00            3.0680e-01            3.0600e-01      4.6021e-01     -9.4364e-02
      7.8350e+03      1.8466e+00     -1.5340e-01     -1.5420e-01         2.3068e+00            3.0680e-01            3.0600e-01      4.6020e-01     -9.4360e-02
      7.8400e+03      1.8466e+00     -1.5340e-01     -1.5420e-01         2.3068e+00            3.0680e-01            3.0600e-01      4.6020e-01     -9.4356e-02
      7.8450e+03      1.8466e+00     -1.5340e-01     -1.5419e-01         2.3068e+00            3.0679e-01            3.0600e-01      4.6019e-01     -9.4352e-02
      7.8500e+03      1.8466e+00     -1.5340e-01     -1.5419e-01         2.3068e+00            3.0679e-01            3.0600e-01      4.6019e-01     -9.4348e-02
      7.8550e+03      1.8466e+00     -1.5340e-01     -1.5419e-01         2.3068e+00            3.0679e-01            3.0599e-01      4.6018e-01     -9.4344e-02
      7.8600e+03      1.8466e+00     -1.5340e-01     -1.5419e-01         2.3068e+00            3.0678e-01            3.0599e-01      4.6018e-01     -9.4340e-02
      7.8650e+03      1.8466e+00     -1.5340e-01     -1.5419e-01         2.3068e+00            3.0678e-01            3.0599e-01      4.6018e-01     -9.4336e-02
      7.8700e+03      1.8466e+00     -1.5339e-01     -1.5418e-01         2.3068e+00            3.0678e-01            3.0599e-01      4.6017e-01     -9.4332e-02
      7.8750e+03      1.8466e+00     -1.5339e-01     -1.5418e-01         2.3068e+00            3.0678e-01            3.0599e-01      4.6017e-01     -9.4328e-02
      7.8800e+03      1.8466e+00     -1.5339e-01     -1.5418e-01         2.3068e+00            3.0677e-01            3.0599e-01      4.6016e-01     -9.4324e-02
      7.8850e+03      1.8466e+00     -1.5339e-01     -1.5418e-01         2.3068e+00            3.0677e-01            3.0598e-01      4.6016e-01     -9.4320e-02
      7.8900e+03      1.8466e+00     -1.5339e-01     -1.5417e-01         2.3068e+00            3.0677e-01            3.0598e-01      4.6016e-01     -9.4316e-02
      7.8950e+03      1.8466e+00     -1.5339e-01     -1.5417e-01         2.3068e+00            3.0677e-01            3.0598e-01      4.6015e-01     -9.4312e-02
      7.9000e+03      1.8466e+00     -1.5339e-01     -1.5417e-01         2.3068e+00            3.0676e-01            3.0598e-01      4.6015e-01     -9.4308e-02
      7.9050e+03      1.8466e+00     -1.5338e-01     -1.5417e-01         2.3068e+00            3.0676e-01            3.0598e-01      4.6015e-01     -9.4304e-02
      7.9100e+03      1.8466e+00     -1.5338e-01     -1.5416e-01         2.3068e+00            3.0676e-01            3.0598e-01      4.6014e-01     -9.4300e-02
      7.9150e+03      1.8466e+00     -1.5338e-01     -1.5416e-01         2.3068e+00            3.0676e-01            3.0598e-01      4.6014e-01     -9.4296e-02
      7.9200e+03      1.8466e+00     -1.5338e-01     -1.5416e-01         2.3068e+00            3.0675e-01            3.0597e-01      4.6013e-01     -9.4292e-02
      7.9250e+03      1.8466e+00     -1.5338e-01     -1.5416e-01         2.3068e+00            3.0675e-01            3.0597e-01      4.6013e-01     -9.4288e-02
      7.9300e+03      1.8466e+00     -1.5338e-01     -1.5416e-01         2.3068e+00            3.0675e-01            3.0597e-01      4.6013e-01     -9.4284e-02
      7.9350e+03      1.8466e+00     -1.5338e-01     -1.5415e-01         2.3067e+00            3.0674e-01            3.0597e-01      4.6012e-01     -9.4281e-02
      7.9400e+03      1.8466e+00     -1.5338e-01     -1.5415e-01         2.3067e+00            3.0674e-01            3.0597e-01      4.6012e-01     -9.4277e-02
      7.9450e+03      1.8466e+00     -1.5337e-01     -1.5415e-01         2.3067e+00            3.0674e-01            3.0597e-01      4.6011e-01     -9.4273e-02
      7.9500e+03      1.8466e+00     -1.5337e-01     -1.5415e-01         2.3067e+00            3.0674e-01            3.0596e-01      4.6011e-01     -9.4269e-02
      7.9550e+03      1.8466e+00     -1.5337e-01     -1.5414e-01         2.3067e+00            3.0673e-01            3.0596e-01      4.6011e-01     -9.4265e-02
      7.9600e+03      1.8466e+00     -1.5337e-01     -1.5414e-01         2.3067e+00            3.0673e-01            3.0596e-01      4.6010e-01     -9.4261e-02
      7.9650e+03      1.8466e+00     -1.5337e-01     -1.5414e-01         2.3067e+00            3.0673e-01            3.0596e-01      4.6010e-01     -9.4257e-02
      7.9700e+03      1.8466e+00     -1.5337e-01     -1.5414e-01         2.3067e+00            3.0673e-01            3.0596e-01      4.6009e-01     -9.4254e-02
      7.9750e+03      1.8466e+00     -1.5337e-01     -1.5413e-01         2.3067e+00            3.0672e-01            3.0596e-01      4.6009e-01     -9.4250e-02
      7.9800e+03      1.8466e+00     -1.5336e-01     -1.5413e-01         2.3067e+00            3.0672e-01            3.0595e-01      4.6009e-01     -9.4246e-02
      7.9850e+03      1.8466e+00     -1.5336e-01     -1.5413e-01         2.3067e+00            3.0672e-01            3.0595e-01      4.6008e-01     -9.4242e-02
      7.9900e+03      1.8466e+00     -1.5336e-01     -1.5413e-01         2.3067e+00            3.0672e-01            3.0595e-01      4.6008e-01     -9.4238e-02
      7.9950e+03      1.8466e+00     -1.5336e-01     -1.5413e-01         2.3067e+00            3.0671e-01            3.0595e-01      4.6007e-01     -9.4234e-02
      8.0000e+03      1.8466e+00     -1.5336e-01     -1.5412e-01         2.3067e+00            3.0671e-01            3.0595e-01      4.6007e-01     -9.4231e-02
      8.0050e+03      1.8466e+00     -1.5336e-01     -1.5412e-01         2.3067e+00            3.0671e-01            3.0595e-01      4.6007e-01     -9.4227e-02
      8.0100e+03      1.8466e+00     -1.5336e-01     -1.5412e-01         2.3067e+00            3.0671e-01            3.0594e-01      4.6006e-01     -9.4223e-02
      8.0150e+03      1.8466e+00     -1.5336e-01     -1.5412e-01         2.3067e+00            3.0670e-01            3.0594e-01      4.6006e-01     -9.4219e-02
      8.0200e+03      1.8466e+00     -1.5335e-01     -1.5411e-01         2.3067e+00            3.0670e-01            3.0594e-01      4.6006e-01     -9.4216e-02
      8.0250e+03      1.8466e+00     -1.5335e-01     -1.5411e-01         2.3067e+00            3.0670e-01            3.0594e-01      4.6005e-01     -9.4212e-02
      8.0300e+03      1.8467e+00     -1.5335e-01     -1.5411e-01         2.3067e+00            3.0670e-01            3.0594e-01      4.6005e-01     -9.4208e-02
      8.0350e+03      1.8467e+00     -1.5335e-01     -1.5411e-01         2.3067e+00            3.0669e-01            3.0594e-01      4.6004e-01     -9.4204e-02
      8.0400e+03      1.8467e+00     -1.5335e-01     -1.5411e-01         2.3067e+00            3.0669e-01            3.0593e-01      4.6004e-01     -9.4201e-02
      8.0450e+03      1.8467e+00     -1.5335e-01     -1.5410e-01         2.3067e+00            3.0669e-01            3.0593e-01      4.6004e-01     -9.4197e-02
      8.0500e+03      1.8467e+00     -1.5335e-01     -1.5410e-01         2.3067e+00            3.0669e-01            3.0593e-01      4.6003e-01     -9.4193e-02
      8.0550e+03      1.8467e+00     -1.5335e-01     -1.5410e-01         2.3067e+00            3.0668e-01            3.0593e-01      4.6003e-01     -9.4189e-02
      8.0600e+03      1.8467e+00     -1.5334e-01     -1.5410e-01         2.3067e+00            3.0668e-01            3.0593e-01      4.6002e-01     -9.4186e-02
      8.0650e+03      1.8467e+00     -1.5334e-01     -1.5409e-01         2.3067e+00            3.0668e-01            3.0593e-01      4.6002e-01     -9.4182e-02
      8.0700e+03      1.8467e+00     -1.5334e-01     -1.5409e-01         2.3067e+00            3.0668e-01            3.0593e-01      4.6002e-01     -9.4178e-02
      8.0750e+03      1.8467e+00     -1.5334e-01     -1.5409e-01         2.3067e+00            3.0667e-01            3.0592e-01      4.6001e-01     -9.4175e-02
      8.0800e+03      1.8467e+00     -1.5334e-01     -1.5409e-01         2.3067e+00            3.0667e-01            3.0592e-01      4.6001e-01     -9.4171e-02
      8.0850e+03      1.8467e+00     -1.5334e-01     -1.5409e-01         2.3067e+00            3.0667e-01            3.0592e-01      4.6001e-01     -9.4167e-02
      8.0900e+03      1.8467e+00     -1.5334e-01     -1.5408e-01         2.3067e+00            3.0667e-01            3.0592e-01      4.6000e-01     -9.4164e-02
      8.0950e+03      1.8467e+00     -1.5334e-01     -1.5408e-01         2.3067e+00            3.0666e-01            3.0592e-01      4.6000e-01     -9.4160e-02
      8.1000e+03      1.8467e+00     -1.5333e-01     -1.5408e-01         2.3067e+00            3.0666e-01            3.0592e-01      4.5999e-01     -9.4156e-02
      8.1050e+03      1.8467e+00     -1.5333e-01     -1.5408e-01         2.3067e+00            3.0666e-01            3.0591e-01      4.5999e-01     -9.4153e-02
      8.1100e+03      1.8467e+00     -1.5333e-01     -1.5407e-01         2.3067e+00            3.0666e-01            3.0591e-01      4.5999e-01     -9.4149e-02
      8.1150e+03      1.8467e+00     -1.5333e-01     -1.5407e-01         2.3067e+00            3.0665e-01            3.0591e-01      4.5998e-01     -9.4145e-02
      8.1200e+03      1.8467e+00     -1.5333e-01     -1.5407e-01         2.3067e+00            3.0665e-01            3.0591e-01      4.5998e-01     -9.4142e-02
      8.1250e+03      1.8467e+00     -1.5333e-01     -1.5407e-01         2.3067e+00            3.0665e-01            3.0591e-01      4.5998e-01     -9.4138e-02
